Reference, Value, Footprint, Datasheet
"B_SHIFT_2","74LS165","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm",""
"B_L1","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_L2","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_L3","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_L4","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_R1","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_R2","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_R3","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_R4","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_START1","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"B_SELECT1","SW_Push","Buttons_Switches_SMD:SW_SPST_EVQQ2",""
"R4","10k","Resistors_SMD:R_0603",""
"R5","10k","Resistors_SMD:R_0603",""
"R6","10k","Resistors_SMD:R_0603",""
"R7","10k","Resistors_SMD:R_0603",""
"R8","10k","Resistors_SMD:R_0603",""
"R9","10k","Resistors_SMD:R_0603",""
"R10","10k","Resistors_SMD:R_0603",""
"R11","10k","Resistors_SMD:R_0603",""
"R12","10k","Resistors_SMD:R_0603",""
"R13","10k","Resistors_SMD:R_0603",""
"STM32F405","STM32F405RGTx","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm",""
"C25","22pF","Capacitors_SMD:C_0603",""
"C24","22pF","Capacitors_SMD:C_0603",""
"C27","2u2","Capacitors_SMD:C_0805",""
"C26","2u2","Capacitors_SMD:C_0805",""
"C31","0.1pF","Capacitors_SMD:C_0603",""
"C30","0.1pF","Capacitors_SMD:C_0603",""
"C28","0.1pF","Capacitors_SMD:C_0603",""
"C29","0.1pF","Capacitors_SMD:C_0603",""
"R15","10k","Resistors_SMD:R_0603",""
"SW_RESET1","SW_SPST","Buttons_Switches_SMD:SW_SPST_EVQPE1",""
"R14","10k","Resistors_SMD:R_0603",""
"SW_BOOT0","SW_SPST","Buttons_Switches_SMD:SW_SPST_EVQPE1",""
"SWDCLK1","PGM-SWDCLK","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"SWDIO1","PGM-SWDIO","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PGND1","PGM-GND","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"NRST1","NRST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"BT0","BOOT0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"C32","0.1pF","Capacitors_SMD:C_0603",""
"BLD1","BTN-LD","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"BCLK1","BTN-CLK","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"BDATA1","BTN-DATA","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"BGND2","BTN-GND","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"Y1","Crystal","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm",""
"B_SHIFT_1","74LS165","Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm",""
"PC0","PC0","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC1","PC1","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC2","PC2","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC3","PC3","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC4","PC4","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC5","PC5","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC6","PC6","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC7","PC7","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"PC8","PC8","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"IRTXF1","IRTXF","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"IRRXF1","IRRXF","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"VBAT-DIV1","5k-10k","TO_SOT_Packages_SMD:SOT-23",""
"C2","0.1uF","Capacitors_SMD:C_0603",""
"BATT-BUCK1","LM2596S-5","TO_SOT_Packages_SMD:TO-263-5_TabPin3",""
"SW_PWRON1","SW_SPST","Buttons_Switches_SMD:SW_SPST_EVQPE1",""
